"","V1","V2"
"167","The Shadows","The Doors"
"168","The Shadows","The McGuire Sisters"
"169","The Rolling Stones","The Ventures"
"170","The Rolling Stones","The Doors"
"171","The Rolling Stones","The McGuire Sisters"
"172","The Ventures","The Doors"
"173","The Ventures","The McGuire Sisters"
"174","The Doors","The McGuire Sisters"
"175","Donny Osmond","Bill Withers"
"176","Donny Osmond","Billy Preston"
"177","Donny Osmond","Chicago"
"178","Donny Osmond","Curtis Mayfield"
"179","Donny Osmond","Fleetwood Mac"
"180","Donny Osmond","Electric Light Orchestra"
"181","Donny Osmond","Led Zeppelin"
"182","Donny Osmond","Ram Jam"
"183","Donny Osmond","Rose Royce"
"184","Donny Osmond","Shocking Blue"
"185","Donny Osmond","Supertramp"
"186","Donny Osmond","Kansas"
"187","Donny Osmond","Lipps, Inc."
"188","Bill Withers","Billy Preston"
"189","Bill Withers","Chicago"
"190","Bill Withers","Curtis Mayfield"
"191","Bill Withers","Fleetwood Mac"
"192","Bill Withers","Electric Light Orchestra"
"193","Bill Withers","Led Zeppelin"
"194","Bill Withers","Ram Jam"
"195","Bill Withers","Rose Royce"
"196","Bill Withers","Shocking Blue"
"197","Bill Withers","Supertramp"
"198","Bill Withers","Kansas"
"199","Bill Withers","Lipps, Inc."
"200","Billy Preston","Chicago"
"201","Billy Preston","Curtis Mayfield"
"202","Billy Preston","Fleetwood Mac"
"203","Billy Preston","Electric Light Orchestra"
"204","Billy Preston","Led Zeppelin"
"205","Billy Preston","Ram Jam"
"206","Billy Preston","Rose Royce"
"207","Billy Preston","Shocking Blue"
"208","Billy Preston","Supertramp"
"209","Billy Preston","Kansas"
"210","Billy Preston","Lipps, Inc."
"211","Chicago","Curtis Mayfield"
"212","Chicago","Fleetwood Mac"
"213","Chicago","Electric Light Orchestra"
"214","Chicago","Led Zeppelin"
"215","Chicago","Ram Jam"
"216","Chicago","Rose Royce"
"217","Chicago","Shocking Blue"
"218","Chicago","Supertramp"
"219","Chicago","Kansas"
"220","Chicago","Lipps, Inc."
"221","Curtis Mayfield","Fleetwood Mac"
"222","Curtis Mayfield","Electric Light Orchestra"
"223","Curtis Mayfield","Led Zeppelin"
"224","Curtis Mayfield","Ram Jam"
"225","Curtis Mayfield","Rose Royce"
"226","Curtis Mayfield","Shocking Blue"
"227","Curtis Mayfield","Supertramp"
"228","Curtis Mayfield","Kansas"
"229","Curtis Mayfield","Lipps, Inc."
"230","Fleetwood Mac","Electric Light Orchestra"
"231","Fleetwood Mac","Led Zeppelin"
